jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,1248,9.941908713692946,1.0,144.0,,970.0,1.0249390426487572,14.845360824742267
2012,1253,9.941908713692946,1.0,460.0,,2372.0,0.41913611777794885,19.392917369308602
2012,1257,9.941908713692946,1.0,287.0,,2228.0,0.4462257052824482,12.881508078994614
2012,1258,27.0,,293.0,,3014.0,0.8958195089581951,9.721300597213006
2012,1263,20.0,,250.0,,1088.0,1.8382352941176472,22.97794117647059
2012,1268,56.0,,482.0,,2206.0,2.5385312783318223,21.84950135992747
2012,1270,63.0,,379.0,,1399.0,4.503216583273767,27.090779127948537
2012,1271,65.0,,266.0,,961.0,6.763787721123829,27.679500520291363
2012,1274,23.0,,200.0,,823.0,2.7946537059538272,24.30133657351154
2012,1279,44.0,,402.0,,1941.0,2.2668727460072127,20.71097372488408
2012,1299,48.0,,570.0,,2139.0,2.244039270687237,26.64796633941094
2012,1307,9.941908713692946,1.0,60.0,,374.0,2.658264361949986,16.0427807486631
2012,1308,9.941908713692946,1.0,81.0,,388.0,2.562347606621893,20.87628865979381
2012,1313,20.0,,54.0,,299.0,6.688963210702341,18.06020066889632
2012,1321,23.0,,124.0,,577.0,3.9861351819757367,21.49046793760832
2012,1322,20.0,,94.0,,315.0,6.349206349206349,29.84126984126984
2012,1323,34.0,,130.0,,484.0,7.024793388429752,26.859504132231407
2012,1325,9.941908713692946,1.0,49.0,,456.0,2.1802431389677515,10.74561403508772
2012,1329,9.941908713692946,1.0,59.0,,214.0,4.645751735370536,27.570093457943926
2012,1343,9.941908713692946,1.0,60.0,,323.0,3.0779903138368256,18.575851393188856
2012,1344,9.941908713692946,1.0,54.0,,313.0,3.176328662521708,17.252396166134183
2012,1345,31.0,,110.0,,545.0,5.688073394495413,20.18348623853211
2012,1347,57.0,,368.0,,2348.0,2.4275979557069847,15.672913117546848
2012,1350,178.0,,1076.0,,6547.0,2.718802504964106,16.435008400794256
2012,1358,9.941908713692946,1.0,68.0,,562.0,1.7690229027923392,12.09964412811388
2012,1376,9.941908713692946,1.0,152.0,,888.0,1.1195843146050615,17.117117117117118
2012,1407,29.0,,127.0,,763.0,3.800786369593709,16.644823066841415
2012,1409,9.941908713692946,1.0,11.434426229508198,2.0,110.0,9.03809883062995,10.394932935916543
2012,1417,22.0,,120.0,,873.0,2.520045819014891,13.745704467353951
2012,1418,9.941908713692946,1.0,113.0,,844.0,1.1779512693948988,13.388625592417062
2012,1421,9.941908713692946,1.0,73.0,,361.0,2.7539913334329493,20.221606648199447
